ERS474339	HGDP00761
ERS474340	HGDP00762
ERS474341	HGDP00763
ERS474342	HGDP00764
ERS474343	HGDP00765
ERS474344	HGDP00766
ERS474345	HGDP00767
ERS474347	HGDP00769
ERS474348	HGDP00771
ERS474349	HGDP00772
ERS474351	HGDP00790
ERS474352	HGDP00791
ERS474353	HGDP00828
ERS474354	HGDP00945
ERS474355	HGDP00946
ERS474356	HGDP00947
ERS474357	HGDP00948
ERS474358	HGDP00949
ERS474359	HGDP00950
ERS474361	HGDP00952
ERS474362	HGDP00953
ERS474363	HGDP00954
ERS474364	HGDP00955
ERS474366	HGDP00957
ERS474367	HGDP00958
ERS474368	HGDP00959
ERS474369	HGDP00960
ERS474370	HGDP00961
ERS474371	HGDP00962
ERS474372	HGDP00963
ERS474373	HGDP00964
ERS474374	HGDP00965
ERS474375	HGDP00966
ERS474376	HGDP00967
ERS474377	HGDP00968
ERS474378	HGDP00969
ERS474380	HGDP01298
ERS474381	HGDP01299
ERS474382	HGDP01300
ERS474385	HGDP01303
ERS474386	HGDP01304
ERS474387	HGDP01305
ERS474389	HGDP00099
ERS474390	HGDP00100
ERS474391	HGDP00102
ERS474392	HGDP00103
ERS474393	HGDP00104
ERS474394	HGDP00105
ERS474395	HGDP00106
ERS474396	HGDP00108
ERS474397	HGDP00109
ERS474398	HGDP00110
ERS474400	HGDP00115
ERS474402	HGDP00118
ERS474403	HGDP00119
ERS474404	HGDP00120
ERS474409	HGDP00127
ERS474413	HGDP00341
ERS474414	HGDP00346
ERS474415	HGDP00351
ERS474416	HGDP00356
ERS474417	HGDP00359
ERS474418	HGDP00364
ERS474419	HGDP00371
ERS474420	HGDP00372
ERS474421	HGDP00376
ERS474422	HGDP00382
ERS474423	HGDP00388
ERS474424	HGDP00392
ERS474425	HGDP00397
ERS474426	HGDP00402
ERS474427	HGDP00407
ERS474428	HGDP00412
ERS474429	HGDP00417
ERS474430	HGDP00423
ERS474432	HGDP00433
ERS474433	HGDP00438
ERS474434	HGDP00444
ERS474435	HGDP00445
ERS474436	HGDP00213
ERS474437	HGDP00214
ERS474439	HGDP00218
ERS474440	HGDP00222
ERS474441	HGDP00224
ERS474442	HGDP00226
ERS474443	HGDP00228
ERS474444	HGDP00230
ERS474446	HGDP00234
ERS474447	HGDP00237
ERS474448	HGDP00239
ERS474449	HGDP00241
ERS474450	HGDP00243
ERS474451	HGDP00244
ERS474452	HGDP00247
ERS474453	HGDP00248
ERS474454	HGDP00251
ERS474455	HGDP00254
ERS474456	HGDP00258
ERS474457	HGDP00259
ERS474458	HGDP00262
ERS474459	HGDP00264
